3,WNT,T6,WET,RLT,FINE,DRIVER,Slight,M,SNR,CAR
3,WNT,T6,WET,RLT,FINE,DRIVER,Slight,M,YNU,CAR
2,WNT,T5,DRY,DLT,FINE,DRIVER,Slight,M,SNR,CAR
2,WNT,T6,DRY,RLT,FINE,DRIVER,Serious,M,YNU,TWH
2,WNT,T6,DRY,RLT,FINE,PASSENGER,Slight,M,CHD,BUS
2,WNT,T6,DRY,RLT,FINE,PASSENGER,Slight,M,CHD,BUS
2,WNT,T6,DRY,RLT,FINE,DRIVER,Slight,M,CHD,CAR
2,WNT,T6,DRY,RLT,FINE,DRIVER,Slight,M,YNU,CAR
1,WNT,T6,DRY,RLT,FINE,PASSENGER,Slight,M,CHD,CAR
2,WNT,T6,DRY,RLT,FINE,DRIVER,Slight,M,CHD,TWH
2,WNT,T5,DRY,DLT,FINE,DRIVER,Slight,M,SNR,CAR
2,WNT,T5,DRY,DLT,FINE,PASSENGER,Slight,M,CHD,CAR
2,WNT,T5,DRY,DLT,FINE,PASSENGER,Slight,M,ADL,CAR
2,WNT,T3,DRY,DLT,FINE,DRIVER,Slight,M,YNU,CAR
2,WNT,T6,WET,RLT,FINE,DRIVER,Slight,M,YNU,CAR
2,WNT,T6,WET,RLT,FINE,PASSENGER,Slight,M,YNU,CAR
2,WNT,T6,WET,RLT,FINE,DRIVER,Slight,F,YNU,CAR
1,WNT,T5,WET,DLT,FINE,PEDESTRAIN,Serious,M,CHD,CAR
2,WNT,T5,DRY,NLT,FINE,PASSENGER,Slight,M,CHD,CAR
2,WNT,T6,DRY,RLT,FINE,DRIVER,Serious,M,CHD,TWH
2,WNT,T6,DRY,RLT,FINE,DRIVER,Slight,M,CHD,CAR
2,WNT,T2,DRY,RLT,FINE,DRIVER,Slight,M,YNU,CAR
2,WNT,T3,DRY,DLT,FINE,DRIVER,Slight,M,ADL,TWH
1,WNT,T5,DRY,RLT,FINE,PEDESTRAIN,Slight,M,YNU,BUS
3,SPR,T5,DRY,DLT,FINE,DRIVER,Slight,M,YNU,CAR
2,SPR,T6,WET,RLT,FINE,DRIVER,Slight,M,YNU,CAR
2,SPR,T5,WET,RLT,RAIN,DRIVER,Slight,F,YNU,TWH
2,SPR,T5,WET,RLT,WIND,DRIVER,Slight,M,ADL,TWH
2,SPR,T5,WET,RLT,FINE,DRIVER,Slight,M,YNU,CAR
2,SPR,T5,WET,RLT,FINE,PASSENGER,Slight,M,YNU,CAR
2,SPR,T5,WET,RLT,FINE,PASSENGER,Slight,M,CHD,CAR
3,SPR,T5,DRY,DLT,FINE,DRIVER,Slight,M,CHD,OTH
2,SPR,T6,DRY,NLT,FINE,DRIVER,Serious,M,SNR,CAR
2,SPR,T6,DRY,RLT,FINE,DRIVER,Slight,M,YNU,CAR
