Number of Vehicles,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
1,Mar,0,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,23,Car
3,Mar,10,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,12,Car
2,Mar,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,24,Car
2,Mar,10,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,21,Car
2,Mar,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,50,Bus or coach (17 or more passenger seats)
2,Mar,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Female,44,Car
2,Mar,13,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,13,Car
2,Mar,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,54,Motorcycle over 125cc and up to 500cc
1,Mar,7,Frost / Ice,Darkness: street lighting unknown,Snowing without high winds,Driver,Slight,Female,57,Car
2,Mar,8,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,34,Car
2,Mar,8,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,36,Car
2,Mar,7,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,59,Taxi/Private hire car
1,Mar,11,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,76,Bus or coach (17 or more passenger seats)
1,Mar,9,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,27,Car
1,Mar,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,33,Goods vehicle 7.5 tonnes mgw and over
2,Mar,18,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,29,Pedal cycle
2,Mar,21,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,24,Pedal cycle
2,Mar,9,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,29,Pedal cycle
2,Mar,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,49,Car
2,Mar,23,Dry,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,31,Car
2,Mar,23,Dry,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,43,Car
2,Mar,7,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,45,Minibus (8 – 16 passenger seats)
1,Mar,17,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,Passenger,Slight,Male,4,Bus or coach (17 or more passenger seats)
1,Mar,10,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,71,Car
2,Mar,21,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,15,Other Vehicle 
2,Mar,19,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,19,Car
2,Mar,19,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,19,Car
1,Mar,21,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,19,Car
2,Mar,12,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,43,Car
2,Mar,15,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,25,Car
2,Mar,15,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,47,Car
3,Mar,10,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,41,Car
1,Mar,12,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,88,Bus or coach (17 or more passenger seats)
3,Mar,19,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,17,Car
1,Mar,23,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Serious,Male,44,Car
1,Mar,23,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,41,Car
1,Mar,2,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,24,Car
3,Mar,17,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,47,Car
1,Mar,16,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,22,Motorcycle over 125cc and up to 500cc
2,Mar,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,38,Pedal cycle
2,Mar,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,60,Car
2,Mar,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,35,Car
2,Mar,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,20,Car
2,Mar,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,63,Car
1,Mar,5,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,19,Car
2,Mar,7,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,43,Car
2,Mar,4,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,50,Car
2,Mar,15,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,53,Car
1,Mar,10,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,30,Car
1,Mar,14,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,81,Car
2,Mar,13,Wet / Damp,Daylight: street lights present,Snowing without high winds,Driver,Slight,Female,25,Car
2,Mar,13,Wet / Damp,Daylight: street lights present,Snowing without high winds,Driver,Slight,Female,66,Car
2,Mar,13,Wet / Damp,Daylight: street lights present,Snowing without high winds,Passenger,Slight,Female,67,Car
2,Mar,16,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,63,Car
2,Mar,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,22,Car
2,Mar,7,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,28,Motorcycle over 500cc
3,Mar,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,26,Goods vehicle 3.5 tonnes mgw and under
3,Mar,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,24,Car
2,Mar,17,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,17,Pedal cycle
2,Mar,10,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,45,Car
2,Mar,10,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,23,Goods vehicle 3.5 tonnes mgw and under
1,Mar,8,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,12,Car
2,Mar,18,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,38,Car
2,Mar,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,32,Car
2,Mar,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,56,Car
2,Mar,7,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,11,Pedal cycle
1,Mar,11,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,60,Bus or coach (17 or more passenger seats)
1,Mar,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,24,Car
2,Mar,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,54,Motorcycle over 125cc and up to 500cc
1,Mar,13,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,52,Bus or coach (17 or more passenger seats)
2,Mar,17,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,23,Car
3,Mar,20,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,19,Car
3,Mar,20,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,22,Car
3,Mar,20,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,20,Car
3,Mar,20,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,53,Car
1,Mar,6,Snow,Darkness: street lighting unknown,Snowing without high winds,Driver,Slight,Male,41,Goods vehicle 7.5 tonnes mgw and over
1,Mar,8,Snow,Daylight: street lights present,Snowing with high winds,Driver,Slight,Male,48,Car
1,Mar,21,Wet / Damp,Darkness: street lights present and lit,Snowing without high winds,Driver,Slight,Male,22,Car
2,Mar,10,Snow,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,33,Goods vehicle 3.5 tonnes mgw and under
2,Mar,18,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,31,Car
2,Mar,18,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,29,Car
1,Mar,18,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Female,25,Car
1,Mar,18,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,24,Car
2,Mar,8,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,23,Car
2,Mar,8,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,28,Car
2,Mar,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,37,Motorcycle over 50cc and up to 125cc
2,Mar,10,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,27,Car
2,Mar,17,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,39,Car
1,Mar,16,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,14,Car
2,Mar,1,Dry,Darkness: street lights present and lit,Fine with high winds,Driver,Slight,Male,27,Car
1,Mar,11,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,25,Taxi/Private hire car
2,Mar,5,Wet / Damp,Darkness: street lighting unknown,Unknown,Driver,Slight,Male,29,Car
1,Mar,0,Snow,Darkness: street lights present and lit,Snowing with high winds,Driver,Slight,Male,45,Car
1,Mar,16,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,17,Car
3,Mar,18,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,7,Car
2,Mar,8,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,57,Car
2,Mar,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,22,Car
2,Mar,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,67,Car
2,Mar,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,21,Car
2,Mar,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,19,Car
2,Mar,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,25,Car
2,Mar,7,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,23,Car
2,Mar,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,42,Motorcycle over 50cc and up to 125cc
1,Mar,13,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,22,Car
1,Mar,0,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,18,Car
4,Mar,9,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,55,Car
4,Mar,9,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,7,Car
2,Mar,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,33,Car
2,Mar,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,63,Car
2,Mar,6,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,46,Car
1,Mar,7,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,23,Car
1,Mar,7,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,23,Car
1,Mar,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,57,Car
1,Mar,11,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,2,Car
2,Mar,11,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,38,Car
1,Mar,15,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,27,Motorcycle over 50cc and up to 125cc
1,Mar,23,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,39,Car
4,Mar,20,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,51,Car
5,Mar,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,31,Car
1,Apr,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,24,Car
1,Apr,3,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,29,Car
1,Apr,3,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,24,Car
2,Apr,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,32,Car
2,Apr,6,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Serious,Male,17,Motorcycle over 50cc and up to 125cc
1,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,12,Bus or coach (17 or more passenger seats)
1,Apr,13,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,28,Car
1,Apr,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,18,Car
2,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,10,Pedal cycle
1,Apr,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,17,M/cycle 50cc and under
2,Apr,17,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,41,Pedal cycle
1,Apr,0,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,40,Car
1,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,15,Car
1,Apr,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,40,Bus or coach (17 or more passenger seats)
1,Apr,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,6,Bus or coach (17 or more passenger seats)
1,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Female,25,Car
1,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,19,Car
2,Apr,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,36,Car
2,Apr,12,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,27,Car
2,Apr,12,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,5,Car
1,Apr,11,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,73,Car
2,Apr,19,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,40,Car
3,Apr,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Female,21,Car
1,Apr,17,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,4,Car
2,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,43,Car
2,Apr,20,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,48,Car
1,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,62,Car
2,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,17,Motorcycle over 50cc and up to 125cc
4,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,31,Car
4,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,24,Car
4,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,25,Car
4,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,23,Car
4,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,20,Car
4,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,32,Car
1,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,25,Other Vehicle 
2,Mar,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,42,Pedal cycle
1,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,57,Bus or coach (17 or more passenger seats)
2,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,58,Car
1,Apr,12,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,73,Car
2,Apr,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,46,Car
2,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,77,Car
2,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,47,Motorcycle over 50cc and up to 125cc
2,Apr,6,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,43,Car
2,Apr,10,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,6,Car
2,Apr,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,23,Pedal cycle
1,Apr,17,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,10,M/cycle 50cc and under
1,Apr,11,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,58,Bus or coach (17 or more passenger seats)
2,Apr,21,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,29,Car
2,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,46,Car
2,Apr,17,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,37,Pedal cycle
2,Apr,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,34,Car
1,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,35,Car
2,Apr,21,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,26,Car
2,Apr,21,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,26,Car
2,Apr,0,Wet / Damp,Darkness: street lights present and lit,Other,Driver,Slight,Male,45,Car
2,Apr,0,Wet / Damp,Darkness: street lights present and lit,Other,Driver,Slight,Male,40,Car
2,Apr,0,Wet / Damp,Darkness: street lights present and lit,Other,Passenger,Slight,Male,50,Car
2,Apr,0,Wet / Damp,Darkness: street lights present and lit,Other,Passenger,Slight,Female,45,Car
2,Apr,2,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,21,Car
2,Apr,2,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Male,19,Car
2,Apr,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,47,Pedal cycle
2,Apr,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,57,Car
2,Apr,8,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,49,Car
2,Apr,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,37,Car
2,Apr,12,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,44,Car
2,Apr,17,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,Driver,Slight,Male,48,Car
2,Apr,17,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,Driver,Slight,Male,20,Car
2,Apr,17,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,Passenger,Slight,Female,45,Car
2,Apr,17,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,Passenger,Slight,Female,19,Car
2,Apr,17,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,Passenger,Slight,Female,20,Car
1,Apr,17,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,21,Car
1,Apr,20,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,61,Goods vehicle 3.5 tonnes mgw and under
1,Apr,2,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Serious,Male,19,Car
1,Apr,12,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,5,Car
1,Apr,23,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,43,Taxi/Private hire car
1,Apr,12,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,8,Bus or coach (17 or more passenger seats)
2,Apr,19,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,Pedestrian,Serious,Male,23,Bus or coach (17 or more passenger seats)
2,Apr,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,32,Car
2,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,31,Car
2,Apr,17,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,6,Pedal cycle
1,Apr,16,Dry,Daylight: street lights present,Fine with high winds,Passenger,Slight,Female,27,Minibus (8 – 16 passenger seats)
2,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,32,Car
2,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,50,Car
2,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,19,Car
2,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,32,Car
1,Apr,4,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,19,Car
2,Apr,10,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,29,Car
2,Apr,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,43,Car
2,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,9,Car
2,Apr,16,Dry,Daylight: street lights present,Fine with high winds,Passenger,Slight,Female,42,Bus or coach (17 or more passenger seats)
2,Apr,14,Dry,Daylight: street lights present,Fine with high winds,Driver,Slight,Female,21,Car
2,Apr,20,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,15,Pedal cycle
2,Apr,17,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,42,Pedal cycle
2,Apr,21,Dry,Darkness: street lighting unknown,Fine with high winds,Driver,Slight,Male,19,Car
3,Apr,21,Dry,Darkness: street lights present and lit,Fine with high winds,Driver,Serious,Male,37,Motorcycle over 50cc and up to 125cc
2,Apr,6,Wet / Damp,Darkness: street lighting unknown,Raining with high winds,Driver,Slight,Male,35,Pedal cycle
2,Apr,7,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,25,Car
3,Apr,7,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,27,Car
3,Apr,7,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,24,Car
2,Apr,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,30,Car
2,Apr,18,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,37,Motorcycle over 125cc and up to 500cc
2,Apr,17,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,34,Car
2,Apr,17,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,27,Car
2,Apr,17,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,23,Car
2,Apr,17,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,26,Motorcycle over 50cc and up to 125cc
2,Apr,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,61,Car
1,Apr,10,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,47,Car
2,Apr,8,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,22,Car
3,Apr,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,79,Car
2,Apr,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,64,Car
3,Apr,18,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,26,Car
3,Apr,18,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,46,Car
2,Apr,19,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,29,Pedal cycle
2,Apr,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,45,Car
2,Apr,19,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,21,Pedal cycle
1,Apr,21,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,21,Car
1,Apr,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,23,Car
2,Apr,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,18,Motorcycle over 50cc and up to 125cc
3,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,62,Car
3,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,51,Car
3,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,24,Car
2,Apr,17,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,32,Pedal cycle
2,Apr,18,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Fatal,Female,70,Car
2,Apr,18,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,79,Car
2,Apr,18,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,37,Car
2,Apr,17,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,17,Car
1,Apr,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,43,Car
2,Apr,7,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,35,Pedal cycle
2,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,55,Car
2,Apr,18,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,24,Car
2,Apr,19,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,27,Car
2,Apr,20,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,22,Car
2,Apr,20,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,27,Car
2,Apr,20,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,22,Car
2,Apr,20,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,25,Car
2,Apr,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,45,Car
2,Apr,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,20,Car
2,Apr,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,19,Pedal cycle
2,Apr,7,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,41,Motorcycle over 50cc and up to 125cc
2,Apr,7,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,51,Motorcycle over 125cc and up to 500cc
1,Apr,13,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,27,Car
2,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,71,Bus or coach (17 or more passenger seats)
2,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,72,Bus or coach (17 or more passenger seats)
2,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,45,Car
2,Apr,18,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,29,Motorcycle over 125cc and up to 500cc
1,Apr,21,Dry,Darkness: no street lighting,Fine without high winds,Driver,Slight,Female,18,Car
1,Apr,21,Dry,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Female,18,Car
1,Apr,11,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,65,Bus or coach (17 or more passenger seats)
2,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,88,Car
2,Apr,18,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,27,Car
