Number of Vehicles,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
2,Jan,18,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,21,Car
2,Jan,16,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver,Slight,Female,55,Car
2,Jan,9,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,37,Car
2,Jan,9,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,34,Car
1,Jan,17,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Female,61,Car
3,Jan,7,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,53,Car
3,Jan,7,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Serious,Male,23,Motorcycle over 50cc and up to 125cc
2,Jan,18,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Female,58,Car
2,Jan,18,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Female,27,Car
2,Jan,18,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,21,Car
2,Jan,18,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,25,Car
2,Jan,15,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,43,Car
3,Jan,18,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,59,Car
2,Jan,7,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,23,Car
2,Jan,7,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,23,Bus or coach (17 or more passenger seats)
1,Jan,10,Wet / Damp,Daylight: street lights present,Snowing without high winds,Passenger,Slight,Male,65,Bus or coach (17 or more passenger seats)
3,Jan,13,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,19,Car
1,Jan,17,Dry,Darkness: street lighting unknown,Unknown,Pedestrian,Slight,Female,27,Goods vehicle 3.5 tonnes mgw and under
2,Jan,8,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,40,Car
2,Jan,8,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,28,Car
2,Jan,8,Frost / Ice,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,27,Car
2,Jan,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,39,Pedal cycle
1,Jan,6,Frost / Ice,Darkness: street lights present and lit,Other,Driver,Slight,Male,34,Bus or coach (17 or more passenger seats)
1,Jan,21,Frost / Ice,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,26,Car
1,Jan,10,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,45,Bus or coach (17 or more passenger seats)
